step,stage,loss_jepa,loss_masked,loss_context,lr,grad_norm
351,stage1_layout,0.454459,0.339881,0.229156,5.00e-05,0.0799
352,stage1_layout,0.452871,0.337355,0.231032,5.00e-05,0.0676
353,stage1_layout,0.455862,0.339941,0.231842,5.00e-05,0.0755
354,stage1_layout,0.451410,0.337402,0.228015,5.00e-05,0.0649
355,stage1_layout,0.448804,0.336282,0.225043,5.00e-05,0.0689
356,stage1_layout,0.445979,0.332955,0.226047,5.00e-05,0.0751
357,stage1_layout,0.444128,0.330490,0.227276,5.00e-05,0.0773
358,stage1_layout,0.456446,0.340456,0.231980,5.00e-05,0.0775
359,stage1_layout,0.453884,0.337755,0.232258,5.00e-05,0.0850
360,stage1_layout,0.455849,0.341495,0.228708,5.00e-05,0.0688
361,stage1_layout,0.438480,0.325493,0.225974,5.00e-05,0.0864
362,stage1_layout,0.456987,0.341092,0.231788,5.00e-05,0.1219
363,stage1_layout,0.450187,0.336662,0.227049,5.00e-05,0.0700
364,stage1_layout,0.452158,0.337910,0.228497,5.00e-05,0.0896
365,stage1_layout,0.454618,0.340497,0.228242,5.00e-05,0.0589
366,stage1_layout,0.446899,0.333342,0.227113,5.00e-05,0.0890
367,stage1_layout,0.454190,0.340136,0.228109,5.00e-05,0.0796
368,stage1_layout,0.440360,0.328093,0.224534,5.00e-05,0.0839
369,stage1_layout,0.452156,0.337896,0.228520,5.00e-05,0.0736
370,stage1_layout,0.442857,0.329421,0.226872,5.00e-05,0.1007
371,stage1_layout,0.455558,0.340853,0.229409,5.00e-05,0.0950
372,stage1_layout,0.437140,0.325525,0.223230,5.00e-05,0.0758
373,stage1_layout,0.435168,0.323608,0.223121,5.00e-05,0.1103
374,stage1_layout,0.454285,0.339247,0.230076,5.00e-05,0.0792
375,stage1_layout,0.458563,0.339861,0.237403,5.00e-05,0.1024
376,stage1_layout,0.456460,0.341025,0.230869,5.00e-05,0.1023
377,stage1_layout,0.456498,0.340017,0.232962,5.00e-05,0.0712
378,stage1_layout,0.452137,0.335549,0.233177,5.00e-05,0.0659
379,stage1_layout,0.443635,0.331596,0.224078,5.00e-05,0.0723
380,stage1_layout,0.460569,0.344732,0.231673,5.00e-05,0.1043
381,stage1_layout,0.458988,0.344402,0.229173,5.00e-05,0.0722
382,stage1_layout,0.449926,0.337036,0.225780,5.00e-05,0.0846
383,stage1_layout,0.440039,0.326380,0.227318,5.00e-05,0.0759
