step,epoch,loss_jepa,loss_total,lr,grad_norm,throughput,val_loss
275,3,0.462540,0.462540,4.86e-05,0.1098,0.08,
276,3,0.468628,0.468628,4.85e-05,0.1080,0.09,
277,3,0.472658,0.472658,4.85e-05,0.1443,0.09,
278,3,0.464181,0.464181,4.85e-05,0.0910,0.09,
279,3,0.459810,0.459810,4.85e-05,0.0822,0.08,
280,3,0.465630,0.465630,4.84e-05,0.0830,0.09,
281,3,0.458183,0.458183,4.84e-05,0.1263,0.09,
282,3,0.454667,0.454667,4.84e-05,0.1508,0.08,
283,3,0.433114,0.433114,4.83e-05,0.1011,0.08,
284,3,0.465961,0.465961,4.83e-05,0.0865,0.08,
284,3,,,,,,0.463136
285,3,0.485725,0.485725,2.92e-07,0.9533,0.04,
286,3,0.493007,0.493007,5.85e-07,1.6198,0.05,
287,3,0.492944,0.492944,8.77e-07,1.1918,0.07,
288,3,0.493109,0.493109,1.17e-06,2.3544,0.07,
289,3,0.496060,0.496060,1.46e-06,2.6892,0.07,
290,3,0.496859,0.496859,1.75e-06,2.9684,0.06,
291,3,0.499749,0.499749,2.05e-06,2.7009,0.07,
292,3,0.493508,0.493508,2.34e-06,0.8687,0.07,
293,3,0.499493,0.499493,2.63e-06,2.8479,0.07,
294,3,0.492397,0.492397,2.92e-06,0.8199,0.06,
295,3,0.483839,0.483839,3.22e-06,0.6983,0.06,
296,3,0.494743,0.494743,3.51e-06,0.9662,0.07,
297,3,0.490306,0.490306,3.80e-06,0.6456,0.07,
298,3,0.497388,0.497388,4.09e-06,1.6738,0.07,
299,3,0.489515,0.489515,4.39e-06,0.5414,0.06,
299,3,,,,,,0.490198
300,3,0.485663,0.485663,4.68e-06,0.5168,0.00,
301,3,0.495476,0.495476,4.97e-06,0.5024,0.08,
302,3,0.483609,0.483609,5.26e-06,0.6221,0.08,
303,3,0.492740,0.492740,5.56e-06,0.7334,0.08,
304,4,0.497222,0.497222,5.85e-06,0.4653,0.08,
305,4,0.490400,0.490400,6.14e-06,0.4474,0.08,
