step,epoch,loss_jepa,loss_drift,loss_total,lr,grad_norm,throughput
277,3,1.529676,0.002086,1.531762,2.58e-06,0.0983,0.04
278,3,1.501932,0.002082,1.504014,2.54e-06,0.1422,0.04
279,3,1.509392,0.002078,1.511470,2.50e-06,0.0849,0.04
280,3,1.527869,0.002073,1.529942,2.46e-06,0.0733,0.03
281,3,1.509328,0.002069,1.511397,2.42e-06,0.0828,0.04
282,3,1.500918,0.002064,1.502982,2.39e-06,0.0831,0.04
283,3,1.481225,0.002060,1.483285,2.35e-06,0.1133,0.04
284,3,1.513282,0.002055,1.515337,2.31e-06,0.1073,0.04
285,3,1.512872,0.002051,1.514923,2.28e-06,0.1210,0.04
286,3,1.523657,0.002046,1.525703,2.24e-06,0.0767,0.04
287,3,1.527035,0.002041,1.529076,2.20e-06,0.0908,0.04
288,3,1.557643,0.002037,1.559680,2.17e-06,0.1093,0.03
289,3,1.540999,0.002034,1.543033,2.13e-06,0.1018,0.04
290,3,1.506469,0.002032,1.508501,2.10e-06,0.0999,0.04
291,3,1.506822,0.002030,1.508852,2.06e-06,0.0889,0.04
292,3,1.507886,0.002028,1.509913,2.03e-06,0.0829,0.04
293,3,1.519884,0.002025,1.521909,1.99e-06,0.0796,0.04
294,3,1.504425,0.002023,1.506448,1.96e-06,0.1326,0.04
295,3,1.500235,0.002020,1.502256,1.92e-06,0.1058,0.04
296,3,1.522372,0.002018,1.524390,1.89e-06,0.8551,0.03
297,3,1.505959,0.002015,1.507974,1.85e-06,0.0727,0.04
298,3,1.522205,0.002012,1.524217,1.82e-06,0.0709,0.04
299,3,1.501498,0.002009,1.503507,1.79e-06,0.0842,0.04
300,3,1.508703,0.002006,1.510709,1.75e-06,0.0926,0.04
301,3,1.491667,0.002002,1.493669,1.72e-06,0.0881,0.04
302,3,1.504028,0.001999,1.506028,1.69e-06,0.0825,0.04
303,3,1.502352,0.001996,1.504348,1.65e-06,0.1549,0.04
304,3,1.490085,0.001993,1.492078,1.62e-06,0.6528,0.03
305,3,1.525741,0.001990,1.527731,1.59e-06,0.0814,0.04
306,3,1.513366,0.001987,1.515352,1.56e-06,0.1070,0.04
307,3,1.495817,0.001984,1.497802,1.53e-06,0.0759,0.04
308,3,1.497163,0.001981,1.499144,1.50e-06,0.7774,0.04
309,3,1.530457,0.001979,1.532436,1.46e-06,0.0938,0.05
310,3,1.504247,0.001976,1.506223,1.43e-06,0.0961,0.04
311,3,1.495254,0.001973,1.497227,1.40e-06,0.2185,0.04
312,3,1.495914,0.001970,1.497884,1.37e-06,0.1270,0.03
313,3,1.496390,0.001968,1.498358,1.34e-06,0.0955,0.04
